dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH43_e22	GH43_29:182|GH43_19:31|GH43_34:4|GH51:3|GH43_31:1|GH43:1|GH43_33:1	3.2.1.-:2|3.2.1.55:1	xylan, xylan	276	C799_RS08895	310	3.6e-114	1	276	24	298	0.9963768115942029	0.9963768115942029
GH43_e159	GH43_19:262|GH43_34:245|GH43:3|GH43_29:2|GH146:2	3.2.1.55:3	xylan	275	C799_RS08900	348	1.3e-57	1	275	83	324	0.9963636363636363	0.9963636363636363
PL11_e0	PL11_1:1283|CBM2:80|CE12:47|PL11:27|CBM35:19|CBM13:13|PL11_2:8|CBM3:6|CBM37:2|GH28:1|GH128:1|CBM0:1|CBM84:1|CBM88:1|CBM5:1|CBM66:1|GH44:1|GH105:1|CBM10:1	4.2.2.23:15|4.2.2.24:5	pectin, pectin	607	C799_RS08905	643	6.4e-155	17	573	55	639	0.9159802306425041	0.9159802306425041
GH2_e41	GH2:131	3.2.1.31:2	beta-glucuronan	481	C799_RS08910	989	6.9e-262	3	481	22	499	0.9937629937629938	0.9937629937629938
GH43_e0	GH43_10:1191|GH43_12:66|GH28:13|GH43:5	3.2.1.55:2|3.2.1.37:1	xylan, xylan	269	C799_RS08915	548	8.3e-130	1	269	40	312	0.9962825278810409	0.9962825278810409
CBM91_e10	CBM91:1294|GH43_10:1290|GH43:2|CBM6:1	-	xylan	195	C799_RS08915	548	2.3e-70	1	194	346	543	0.9897435897435898	0.9897435897435898
CE12_e37	CE12:111|GH106:1	-	-	206	C799_RS10560	427	9.3e-92	1	206	176	382	0.9951456310679612	0.9951456310679612
GH2_e41	GH2:131	3.2.1.31:2	beta-glucuronan	481	C799_RS10565	997	1.2e-259	3	481	29	506	0.9937629937629938	0.9937629937629938
GH43_e259	GH43_12:55|GH43:2	3.2.1.55:2|3.2.1.37:1	xylan, xylan	286	C799_RS10570	541	8.4e-130	1	286	28	312	0.9965034965034965	0.9965034965034965
CBM91_e28	CBM91:215|GH43_12:206|GH43:7|GH43_14:1	-	xylan	199	C799_RS10570	541	3.2e-48	2	198	341	529	0.9849246231155779	0.9849246231155779
GH146_e1	GH146:440	-	-	514	C799_RS10580	639	9.1e-178	1	514	50	553	0.9980544747081712	0.9980544747081712
GH115_e4	GH115:122	3.2.1.-:1	arabinogalactan protein	758	C799_RS10585	788	4.1e-264	10	757	40	776	0.9854881266490765	0.9854881266490765
GT6_e4	GT6:12	-	-	212	C799_RS15355	263	7e-91	1	209	3	213	0.9811320754716981	0.9811320754716981
GT11_e40	GT11:171|GT6:2|GT2:1	2.4.1.69:1	-	283	C799_RS15365	292	4.9e-92	2	283	3	291	0.9929328621908127	0.9929328621908127
GT2	GT2:10	-	-	162	C799_RS15390	273	7.6e-64	1	162	8	171	0.9938271604938271	0.9938271604938271
GH140_e1	GH140:160	3.2.1.-:1	pectin	432	C799_RS16885	495	2.3e-196	1	432	38	463	0.9976851851851852	0.9976851851851852
GT2	GT2:11	-	-	164	C799_RS18215	334	6.4e-46	1	161	5	163	0.975609756097561	0.975609756097561
GT4_e3319	GT4:36	-	-	148	C799_RS20265	361	1e-47	2	147	186	330	0.9797297297297297	0.9797297297297297
GT4_e116	GT4:111	-	-	115	C799_RS20270	360	2.5e-50	1	115	197	310	0.991304347826087	0.991304347826087
GT2	GT2:8	-	-	164	C799_RS20275	265	2.3e-30	1	161	9	173	0.975609756097561	0.975609756097561
GT2	GT2:14	-	-	190	C799_RS20285	268	6.9e-57	1	185	8	190	0.968421052631579	0.968421052631579
GT2	GT2:6	-	-	123	C799_RS20300	335	4.8e-39	1	119	8	133	0.959349593495935	0.959349593495935
GT4_e438	GT4:23	-	-	145	DW167_RS00070	372	4.7e-30	4	144	196	337	0.9655172413793104	0.9655172413793104
GH3_e1	GH3:5872|GH16:4|CBM6:2|GH144:1	3.2.1.21:20|3.2.1.-:6	beta-glucan, beta-glucan	222	DW167_RS06285	739	4.9e-98	1	222	102	323	0.9954954954954955	0.9954954954954955
GH110_e17	GH110:10	-	-	503	DW167_RS07005	687	3.5e-78	12	501	133	663	0.9721669980119284	0.9721669980119284
GH97_e25	GH97:11|GH0:1|CBM6:1|GH110:1|GH16:1	-	-	608	DW167_RS07010	648	9e-231	5	607	23	644	0.9901315789473685	0.9901315789473685
GH106_e32	GH106:6	-	-	775	DW167_RS07015	991	2.6e-197	2	774	192	981	0.9961290322580645	0.9961290322580645
GT4_e2936	GT4:14	-	-	148	DW640_RS02740	341	3.1e-55	1	145	169	313	0.972972972972973	0.972972972972973
GT4_e719	GT4:7	-	-	152	DW640_RS02750	375	1e-33	2	149	181	327	0.9671052631578947	0.9671052631578947
GT4_e2639	GT4:13	2.4.1.-:1	-	140	DW640_RS02755	365	1.5e-26	1	138	193	332	0.9785714285714285	0.9785714285714285
GH3_e6	GH3:76|GH89:3|CBM32:1	-	-	221	DW697_RS00265	860	1.4e-109	1	221	109	329	0.995475113122172	0.995475113122172
GT4_e2936	GT4:14	-	-	148	DW697_RS20730	294	6.6e-46	1	144	118	262	0.9662162162162162	0.9662162162162162
CBM32_e83	CBM32:5	-	host glycan	130	DW780_RS23995	461	4e-19	10	129	327	455	0.9153846153846154	0.9153846153846154
GT2	GT2:23	-	-	221	DWV24_RS21585	262	2.1e-49	1	177	5	188	0.7963800904977375	0.7963800904977375
GT2	GT2:18	-	-	247	DWV24_RS21595	301	9.7e-66	1	241	5	259	0.97165991902834	0.97165991902834
GT82_e1	GT82:6	-	-	178	DWV24_RS21615	401	3e-28	5	120	29	151	0.6460674157303371	0.6460674157303371
GT82_e1	GT82:6	-	-	178	DWV24_RS21620	359	1.3e-23	5	148	27	179	0.8033707865168539	0.8033707865168539
GT4_e449	GT4:54	-	-	150	DWW05_RS01080	362	6.4e-34	2	149	178	329	0.98	0.98
GT4_e1735	GT4:8	-	-	156	DWW05_RS01090	363	6.4e-25	3	146	186	325	0.9166666666666666	0.9166666666666666
GT4_e1861	GT4:6	-	-	158	DWW05_RS07585	406	6.8e-61	3	158	214	370	0.9810126582278481	0.9810126582278481
GT2	GT2:12	-	-	108	DWW05_RS09680	299	6.4e-43	1	103	4	106	0.9444444444444444	0.9444444444444444
GT32_e95	GT32:16	-	-	77	DWW05_RS09685	245	2.5e-41	2	76	21	95	0.961038961038961	0.961038961038961
GT2	GT2:27	-	-	150	DWW05_RS09690	326	3.8e-42	1	141	5	148	0.9333333333333333	0.9333333333333333
GT2	GT2:11	-	-	164	DWW05_RS09695	334	8.3e-55	2	164	15	173	0.9878048780487805	0.9878048780487805
GT4_e2413	GT4:14	-	-	141	DWW05_RS09705	359	1.5e-40	3	138	188	322	0.9574468085106383	0.9574468085106383
GT2	GT2:10	-	-	125	DWW05_RS09710	252	5.8e-59	1	125	8	132	0.992	0.992
GT4_e1880	GT4:7	-	-	150	DWW05_RS20790	388	2.5e-40	2	142	207	343	0.9333333333333333	0.9333333333333333
GT2	GT2:22	-	-	187	DWW05_RS20795	264	2.5e-58	1	184	5	202	0.9786096256684492	0.9786096256684492
GT4_e1070	GT4:10	-	-	139	DWW05_RS20820	387	2.2e-22	4	137	204	342	0.9568345323741008	0.9568345323741008
GT2	GT2:41|GT8:12	-	-	158	DWW05_RS20835	333	1.8e-41	3	156	10	169	0.9683544303797469	0.9683544303797469
GT2	GT2:10	-	-	181	DWW05_RS24310	270	5.7e-76	1	180	7	185	0.988950276243094	0.988950276243094
GT2	GT2:11	-	-	127	DWW05_RS24320	324	6.1e-39	1	119	8	132	0.9291338582677166	0.9291338582677166
GH35_e44	GH35:96	-	-	181	DWY18_RS00715	540	4.1e-21	2	164	54	231	0.8950276243093923	0.8950276243093923
GH36_e24	GH36:283|CBM51:3	3.2.1.22:2	alpha-galactan	680	DWY18_RS01070	719	0	1	680	28	701	0.9985294117647059	0.9985294117647059
GH43_e0	GH43_10:1191|GH43_12:66|GH28:13|GH43:5	3.2.1.55:2|3.2.1.37:1	xylan, xylan	269	DWY18_RS01075	515	2.8e-112	1	269	37	296	0.9962825278810409	0.9962825278810409
CBM91_e20	CBM91:55|GH43_10:55|GH28:21|CBM6:1	-	xylan	184	DWY18_RS01075	515	8.9e-82	2	184	331	513	0.9891304347826086	0.9891304347826086
GH3_e6	GH3:76|GH89:3|CBM32:1	-	-	221	DWY18_RS01085	760	2.1e-108	1	221	104	324	0.995475113122172	0.995475113122172
GH29_e42	GH29:45	-	-	309	DWY18_RS01090	505	6.9e-154	2	308	32	340	0.9902912621359223	0.9902912621359223
GH2_e98	GH2:93|CBM32:77	-	-	676	DWY18_RS01095	988	0	1	675	42	720	0.9970414201183432	0.9970414201183432
CBM32_e133	CBM32:79|GH2:75|GH20:1	-	host glycan	112	DWY18_RS01095	988	1.4e-42	2	111	735	844	0.9732142857142857	0.9732142857142857
GT4_e161	GT4:13	-	-	147	DWY18_RS01145	374	7.3e-67	2	146	199	343	0.9795918367346939	0.9795918367346939
GT2	GT2:24	-	-	173	DWY18_RS01160	333	4.1e-74	1	173	10	183	0.9942196531791907	0.9942196531791907
GT14_e68	GT14:42|GT2:1	-	-	250	DWY18_RS01170	289	1.4e-117	1	249	5	253	0.992	0.992
GT14_e45	GT14:8	-	-	240	DWY18_RS01175	293	1.5e-123	1	239	10	247	0.9916666666666667	0.9916666666666667
GT32_e179	GT32:9	-	-	78	DWY18_RS01180	314	9.9e-41	1	77	86	162	0.9743589743589743	0.9743589743589743
GT8_e199	GT8:33	-	-	248	DWY18_RS01185	322	2.3e-133	1	247	16	262	0.9919354838709677	0.9919354838709677
GT2	GT2:16|GT4:1	-	-	116	DWY18_RS01200	316	9.9e-42	1	114	13	126	0.9741379310344828	0.9741379310344828
GT4_e2583	GT4:12	-	-	137	DWY18_RS01205	438	4e-18	5	135	181	336	0.948905109489051	0.948905109489051
GT2	GT2:33	-	-	132	DWY18_RS01245	324	7.1e-60	1	127	10	136	0.9545454545454546	0.9545454545454546
CBM62_e13	CBM62:17|CBM16:1|CBM32:1|GH5:1	-	xyloglucan, arabinogalactan and galactomannan	96	DWY18_RS01580	651	8.3e-30	5	96	424	517	0.9479166666666666	0.9479166666666666
GH92_e40	GH92:5	3.2.1.24:1	host glycan	482	DWY18_RS01610	898	2e-286	1	482	413	892	0.9979253112033195	0.9979253112033195
GH76_e42	GH76:132	3.2.1.101:2	alpha-mannan	309	DWY18_RS01615	397	6.7e-61	7	306	71	366	0.9676375404530745	0.9676375404530745
GH115_e4	GH115:122	3.2.1.-:1	arabinogalactan protein	758	DWY18_RS01660	790	0	2	758	27	778	0.9973614775725593	0.9973614775725593
GH105_e29	GH105:94|PL33_2:14|PL35:2	-	-	312	DWY18_RS01710	983	2.9e-148	2	312	52	368	0.9935897435897436	0.9935897435897436
PL33_e4	PL33_2:15|GH105:14	-	-	148	DWY18_RS01710	983	2.7e-80	1	147	773	920	0.9864864864864865	0.9864864864864865
GH31_e15	GH31:19|CBM32:1|CBM51:1	-	-	432	DWY18_RS02270	713	2.3e-232	1	432	203	633	0.9976851851851852	0.9976851851851852
GH92_e0	GH92:2578|GH43_34:10|GH88:7|GH20:2|GH125:2|CBM32:1|CBM6:1|CBM57:1	3.2.1.-:8|3.2.1.113:1|3.2.1.114:1|3.2.1.24:1	host glycan, host glycan, host glycan	494	DWY18_RS02500	736	2e-215	4	494	240	731	0.9919028340080972	0.9919028340080972
CE20_e20	CE20:241	-	-	236	DWY18_RS02510	649	1.3e-104	2	235	103	545	0.9872881355932204	0.9872881355932204
GH20_e135	GH20:148|CBM0:1	-	-	355	DWY18_RS02650	775	2.7e-170	1	354	157	515	0.9943661971830986	0.9943661971830986
GH2_e30	GH2:674|CBM51:7|CBM67:1	-	-	866	DWY18_RS02655	1022	0	3	866	59	907	0.9965357967667436	0.9965357967667436
GH136_e17	GH136:8|CBM9:2	-	-	486	DWY18_RS03055	680	1.1e-243	1	486	43	522	0.9979423868312757	0.9979423868312757
GH136_e17	GH136:8|CBM9:2	-	-	486	DWY18_RS03060	511	1.2e-240	1	486	31	510	0.9979423868312757	0.9979423868312757
GH130_e18	GH130:34	2.4.1.-:1	beta-mannan	332	DWY18_RS03070	340	2.6e-172	1	332	4	336	0.9969879518072289	0.9969879518072289
GH173_e1	GH173:29	-	-	270	DWY18_RS03075	510	7e-99	2	270	83	355	0.9925925925925926	0.9925925925925926
GH95_e0	GH95:552|CBM51:45|CBM32:26|CBM13:1|CBM47:1	3.2.1.63:5|3.2.1.51:1	xyloglucan, host glycan, host glycan	726	DWY18_RS03835	814	9.5e-263	6	724	45	787	0.9889807162534435	0.9889807162534435
GT19_e2	GT19:889	-	-	349	DWY18_RS05910	379	1e-152	1	349	5	360	0.997134670487106	0.997134670487106
GT2	GT2:7	-	-	129	DWY18_RS06495	324	3.1e-51	1	122	7	128	0.937984496124031	0.937984496124031
GT82_e1	GT82:6	-	-	178	DWY18_RS06505	388	2.6e-30	2	140	24	169	0.7752808988764045	0.7752808988764045
GH2_e112	GH2:541|CBM67:5|GH43_26:1	3.2.1.23:1	beta-galactan	590	DWY18_RS08055	592	2.6e-204	1	578	29	584	0.9779661016949153	0.9779661016949153
PL8_e21	PL8_2:45|PL8:1	-	-	250	DWY18_RS08350	954	2.2e-109	1	249	577	808	0.992	0.992
GT4_e1775	GT4:10	-	-	133	DWY18_RS08380	413	3e-52	2	126	237	360	0.9323308270676691	0.9323308270676691
GT4_e3844	GT4:17	-	-	141	DWY18_RS08510	420	2.1e-65	1	141	244	385	0.9929078014184397	0.9929078014184397
GT4_e3844	GT4:17	-	-	141	DWY18_RS08515	421	2.7e-52	1	141	244	385	0.9929078014184397	0.9929078014184397
GT2	GT2:14	-	-	114	DWY18_RS08520	329	4.3e-42	1	112	8	120	0.9736842105263158	0.9736842105263158
GT2	GT2:9	-	-	143	DWY18_RS08525	335	1.7e-59	1	143	16	174	0.993006993006993	0.993006993006993
GT14_e14	GT14:14	-	-	253	DWY18_RS08565	323	3.3e-108	1	253	35	290	0.9960474308300395	0.9960474308300395
GT4_e689	GT4:71	-	-	140	DWY18_RS09660	361	4.3e-62	2	139	194	330	0.9785714285714285	0.9785714285714285
GT4_e1632	GT4:16	-	-	135	DWY18_RS09670	392	8.3e-61	1	134	226	360	0.9851851851851852	0.9851851851851852
GT4_e2608	GT4:7	-	-	147	DWY18_RS09685	376	1.6e-46	3	144	196	337	0.9591836734693877	0.9591836734693877
GT2	GT2:27	-	-	126	DWY18_RS09695	322	2.2e-41	1	124	5	123	0.9761904761904762	0.9761904761904762
GT4_e2583	GT4:12	-	-	137	DWY18_RS09700	432	4e-34	3	136	182	339	0.9708029197080292	0.9708029197080292
GH20_e12	GH20:1706|CBM32:19|CBM0:2	3.2.1.52:18|3.2.1.-:1	host glycan, host glycan	351	DWY18_RS09735	692	7.5e-162	2	349	150	499	0.9886039886039886	0.9886039886039886
CBM32_e198	CBM32:19|GH20:19	-	host glycan	96	DWY18_RS09735	692	3.5e-21	2	94	584	675	0.9583333333333334	0.9583333333333334
GH20_e12	GH20:1706|CBM32:19|CBM0:2	3.2.1.52:18|3.2.1.-:1	host glycan, host glycan	351	DWY18_RS09740	775	3.4e-173	2	349	153	510	0.9886039886039886	0.9886039886039886
GH89_e5	GH89:72	-	-	660	DWY18_RS09785	731	0	2	660	66	724	0.996969696969697	0.996969696969697
CE2_e2	CE2:16	-	-	203	DWY18_RS09820	367	1.6e-110	1	203	150	352	0.9950738916256158	0.9950738916256158
CE20_e34	CE20:107	-	-	261	DWY18_RS09830	885	1.8e-115	1	261	104	363	0.9961685823754789	0.9961685823754789
GH138_e1	GH138:46	-	-	896	DWY18_RS09950	900	0	8	895	20	898	0.9899553571428571	0.9899553571428571
GH139_e0	GH139:121	3.2.1.-:1	pectin	768	DWY18_RS10010	792	0	16	767	16	789	0.9778645833333334	0.9778645833333334
PL1_e77	PL1_2:202|PL1:4	-	-	191	DWY18_RS10030	561	1.6e-104	1	191	135	325	0.9947643979057592	0.9947643979057592
CBM67_e28	CBM67:192|GH78:190|CBM0:1|CBM66:1	3.2.1.40:1	rhamnose	186	DWY18_RS11755	883	2.2e-63	1	174	146	319	0.9301075268817204	0.9301075268817204
GH78_e80	GH78:1278|CBM67:96|GH3:3|GH0:2|GH18:2|CBM0:1	3.2.1.40:8|3.1.1.73:2	alpha-rhamnoside	510	DWY18_RS11755	883	2.7e-213	3	508	351	860	0.9901960784313726	0.9901960784313726
GH137_e0	GH137:122|CBM57:46|GH2:46|GH106:2	3.2.1.31:1|3.2.1.185:1	pectin	339	DWY18_RS11760	366	6.5e-164	2	338	26	364	0.9911504424778761	0.9911504424778761
GH106_e46	GH106:55	-	-	732	DWY18_RS11765	1045	0	7	731	326	1040	0.9890710382513661	0.9890710382513661
GH28_e117	GH28:129	3.2.1.173:1	pectin	341	DWY18_RS11770	416	1e-156	2	338	51	391	0.9853372434017595	0.9853372434017595
CBM67_e26	CBM67:52|GH78:52|CBM32:8|CBM13:1	-	rhamnose	183	DWY18_RS11775	741	2.2e-77	2	183	9	194	0.9890710382513661	0.9890710382513661
GH78_e30	GH78:58|CBM67:48|CBM32:8|CE15:2	3.2.1.40:2	alpha-rhamnoside	460	DWY18_RS11775	741	1.4e-204	5	459	246	698	0.9869565217391304	0.9869565217391304
GT2	GT2:7	-	-	118	DWY18_RS12135	430	2.1e-28	1	112	12	125	0.940677966101695	0.940677966101695
GT4_e3899	GT4:5	-	-	116	DWY18_RS12160	383	2.2e-25	5	106	220	317	0.8706896551724138	0.8706896551724138
GT4_e2433	GT4:6	-	-	136	DWY18_RS12195	354	8.6e-63	2	136	174	307	0.9852941176470589	0.9852941176470589
GT4_e2257	GT4:9	-	-	151	DWY18_RS12205	388	3.9e-65	1	148	212	360	0.9735099337748344	0.9735099337748344
GT4_e2011	GT4:7	-	-	153	DWY18_RS12210	399	4.5e-61	2	153	215	371	0.9869281045751634	0.9869281045751634
GH30_e11	GH30_2:24	-	-	435	DWY18_RS13745	491	1.5e-258	1	434	53	487	0.9954022988505747	0.9954022988505747
PL9_e24	PL9_1:24|PL9:3	4.2.2.23:2	pectin	407	DWY18_RS14280	536	1.1e-207	1	407	24	441	0.9975429975429976	0.9975429975429976
GH28_e139	GH28:134|GH43_18:1	3.2.1.173:1	pectin	371	DWY18_RS14405	507	7.9e-183	1	370	84	454	0.9946091644204852	0.9946091644204852
GH106_e0	GH106:213|CE12:1	3.2.1.174:1	pectin	900	DWY18_RS14420	925	0	1	900	23	915	0.9988888888888889	0.9988888888888889
GH18_e64	GH18:21	-	-	172	DWY18_RS14450	549	2.4e-58	11	171	265	420	0.9302325581395349	0.9302325581395349
CBM13_e174	CBM13:8|GH2:8	-	xylan	150	DWY18_RS15460	1195	3.1e-67	1	150	35	185	0.9933333333333333	0.9933333333333333
GH2_e1	GH2:1541|CBM32:15|CBM51:13|CBM13:8|GH106:2|CBM67:2|GH33:1	3.2.1.23:35	beta-galactan	883	DWY18_RS15460	1195	0	26	883	218	1076	0.970554926387316	0.970554926387316
GH92_e30	GH92:201	3.2.1.-:2	host glycan	521	DWY18_RS15835	752	4.3e-271	4	521	217	734	0.9923224568138196	0.9923224568138196
CBM62_e1	CBM62:53	-	xyloglucan, arabinogalactan and galactomannan	89	DWY18_RS16305	674	4.2e-30	6	86	460	539	0.898876404494382	0.898876404494382
CE15_e7	CE15:6|CBM22:2|CBM9:2|GH10:2	-	-	336	DWY18_RS17100	393	4.7e-18	4	335	61	384	0.9851190476190477	0.9851190476190477
GH20_e9	GH20:95	-	-	339	DWY18_RS17150	538	1.9e-163	1	338	142	481	0.9941002949852508	0.9941002949852508
CE20_e40	CE20:34	-	-	260	DWY18_RS17155	475	5.7e-127	1	260	104	364	0.9961538461538462	0.9961538461538462
GH89_e5	GH89:72	-	-	660	DWY18_RS17185	733	0	1	659	64	722	0.996969696969697	0.996969696969697
CE9_e78	CE9:112	-	-	382	DWY18_RS17195	396	3.1e-193	2	382	8	390	0.9947643979057592	0.9947643979057592
GT2	GT2:16	-	-	130	DWY18_RS17730	340	3.5e-35	1	121	6	126	0.9230769230769231	0.9230769230769231
GT4_e1805	GT4:25	2.4.1.-:1	-	143	DWY18_RS17760	356	6.3e-18	6	128	185	310	0.8531468531468531	0.8531468531468531
GH92_e24	GH92:64	-	-	535	DWY18_RS18400	772	1.5e-240	1	535	241	765	0.9981308411214953	0.9981308411214953
GH3_e1	GH3:5872|GH16:4|CBM6:2|GH144:1	3.2.1.21:20|3.2.1.-:6	beta-glucan, beta-glucan	222	DWY18_RS18420	750	6.1e-104	1	222	94	315	0.9954954954954955	0.9954954954954955
GH43_e269	GH43_24:109|GH35:10|CBM32:9|GH2:3	-	-	254	DWY18_RS20045	356	6.2e-131	1	253	51	305	0.9921259842519685	0.9921259842519685
GH43_e43	GH43_10:34|CBM13:6	-	-	269	DWY18_RS20160	534	1.3e-147	1	269	49	316	0.9962825278810409	0.9962825278810409
CBM91_e38	CBM91:42|GH43_10:42|CBM13:6	-	xylan	187	DWY18_RS20160	534	2.4e-89	1	186	347	532	0.9893048128342246	0.9893048128342246
GH38_e34	GH38:63|CBM32:8	3.2.1.113:1|3.2.1.-:1	host glycan, alpha-mannan	234	DWY18_RS20895	1200	9.3e-132	1	233	32	263	0.9914529914529915	0.9914529914529915
CBM32_e185	CBM32:11|GH38:10|CBM6:1|CE17:1	3.2.1.113:1|3.2.1.-:1	host glycan	121	DWY18_RS20895	1200	3.7e-47	1	121	1080	1197	0.9917355371900827	0.9917355371900827
GT4_e2447	GT4:18	-	-	144	DWY18_RS21570	393	2.8e-44	2	131	222	353	0.8958333333333334	0.8958333333333334
GT2	GT2:32	-	-	160	DWY18_RS21585	274	2e-75	1	160	8	167	0.99375	0.99375
PL1_e77	PL1_2:202|PL1:4	-	-	191	DWY18_RS22240	580	5.4e-107	1	191	136	329	0.9947643979057592	0.9947643979057592
GH18_e50	GH18:11	-	-	138	DWY18_RS22295	341	2.2e-49	2	138	121	255	0.9855072463768116	0.9855072463768116
GT2	GT2:9	-	-	133	DWY18_RS22660	278	6.4e-61	1	131	6	134	0.9774436090225563	0.9774436090225563
GT4_e1861	GT4:6	-	-	158	DWY18_RS22665	409	2e-75	2	158	216	373	0.9873417721518988	0.9873417721518988
GH30_e24	GH30_2:47	3.2.1.37:1	xylan	421	EAJ10_RS02295	482	1.8e-199	5	420	62	478	0.9857482185273159	0.9857482185273159
GH3_e6	GH3:76|GH89:3|CBM32:1	-	-	221	EAJ10_RS02300	757	1.5e-106	1	221	100	320	0.995475113122172	0.995475113122172
PL8_e52	PL8_2:8|CBM66:1|CBM70:1	-	-	255	EAJ10_RS05375	978	4.7e-38	8	168	614	766	0.6274509803921569	0.6274509803921569
GT2	GT2:8	-	-	144	EAJ10_RS06940	310	1.7e-64	1	144	81	224	0.9930555555555556	0.9930555555555556
GT11_e33	GT11:22	-	-	246	EAJ10_RS07010	301	1.2e-95	2	243	27	285	0.9796747967479674	0.9796747967479674
GT2	GT2:41|GT8:12	-	-	158	EAJ10_RS07015	330	3.5e-43	1	120	16	133	0.7531645569620253	0.7531645569620253
GT4_e1826	GT4:7	-	-	149	EAJ10_RS07020	373	2.8e-60	4	149	202	347	0.9731543624161074	0.9731543624161074
GT2	GT2:14	-	-	190	EAJ10_RS07025	277	1.7e-72	1	185	9	192	0.968421052631579	0.968421052631579
GT8_e228	GT8:13	-	-	248	EAJ10_RS07030	304	8e-108	1	246	4	249	0.9879032258064516	0.9879032258064516
GT32_e128	GT32:41	-	-	76	EAJ10_RS07035	244	8.8e-38	1	76	21	96	0.9868421052631579	0.9868421052631579
GT2	GT2:37|GT101:8	2.4.1.-:1	-	163	EAJ10_RS07040	324	1.7e-37	1	120	7	128	0.7300613496932515	0.7300613496932515
GH50_e2	GH50:7	-	-	453	EAJ10_RS07660	636	1.7e-65	16	219	232	462	0.4481236203090508	0.4481236203090508
GH51_e24	GH120:10|GH51:10	-	-	422	EAJ10_RS07665	711	6e-54	1	338	265	617	0.7985781990521327	0.7985781990521327
GH5_e221	GH5_13:549|GH5:3|GH93:1	3.2.1.146:3	arabinogalactan protein	274	EAJ10_RS07670	406	3.9e-20	107	267	108	266	0.583941605839416	0.583941605839416
CBM35_e36	CBM35:13	-	xylan, beta-mannan, beta-galactan	113	EAJ10_RS07675	656	2.4e-43	1	112	523	634	0.9823008849557522	0.9823008849557522
GH139_e0	GH139:121	3.2.1.-:1	pectin	768	EAJ10_RS07690	734	0	22	765	8	731	0.9674479166666666	0.9674479166666666
GH147_e0	GH147:108	3.2.1.23:1	beta-galactan	811	EAJ10_RS07695	837	9e-243	5	805	22	809	0.9864364981504316	0.9864364981504316
GH105_e39	GH105:124|GH154:20|GH16_3:1|GH43_24:1	3.2.1.-:1	ulvan	327	EAJ10_RS07700	392	1.7e-164	3	327	65	388	0.9908256880733946	0.9908256880733946
GH154_e2	GH154:70|GH105:20|GH16_3:1	-	-	361	EAJ10_RS07710	408	2.7e-194	1	360	19	379	0.9944598337950139	0.9944598337950139
GH97_e18	GH97:183|GH146:3|GH43_19:3|CE6:2	3.2.1.22:1|3.2.1.88:1	alpha-glucan	633	EAJ10_RS07715	649	0	6	631	20	645	0.9873617693522907	0.9873617693522907
GH59_e5	GH59:9	-	-	645	EAJ10_RS07720	716	0	1	644	43	687	0.9968992248062015	0.9968992248062015
GH31_e46	GH31:130	3.2.1.22:1	alpha-galactan	390	EAJ10_RS07725	528	8.9e-180	1	389	140	525	0.9948717948717949	0.9948717948717949
GH43_e159	GH43_19:262|GH43_34:245|GH43:3|GH43_29:2|GH146:2	3.2.1.55:3	xylan	275	EAJ10_RS07730	955	5.5e-52	1	275	84	325	0.9963636363636363	0.9963636363636363
GH43_e22	GH43_29:182|GH43_19:31|GH43_34:4|GH51:3|GH43_31:1|GH43:1|GH43_33:1	3.2.1.-:2|3.2.1.55:1	xylan, xylan	276	EAJ10_RS07730	955	2.7e-110	1	275	359	635	0.9927536231884058	0.9927536231884058
GH43_e159	GH43_19:262|GH43_34:245|GH43:3|GH43_29:2|GH146:2	3.2.1.55:3	xylan	275	EAJ10_RS07730	955	9.2e-100	1	274	662	947	0.9927272727272727	0.9927272727272727
GH43_e205	GH43_24:47	-	-	237	EAJ10_RS07735	443	5e-129	1	237	45	280	0.9957805907172996	0.9957805907172996
GH146_e13	GH146:34	-	-	510	EAJ10_RS08545	791	4.4e-270	1	510	34	536	0.9980392156862745	0.9980392156862745
GH43_e82	GH43_10:63|CBM6:1	3.2.1.55:1	xylan	267	EAJ10_RS08550	516	3.7e-153	1	267	16	281	0.9962546816479401	0.9962546816479401
CBM91_e4	CBM91:98|GH43_10:98|CE6:5|CBM6:3|GH43_29:1	-	xylan	204	EAJ10_RS08550	516	2.6e-98	1	203	309	511	0.9901960784313726	0.9901960784313726
GH10_e83	GH10:216|GH43_12:4|GH43_1:3|CE0:2	3.2.1.8:21|3.2.1.55:1	xylan	341	EAJ10_RS08560	379	2.6e-163	1	340	33	370	0.9941348973607038	0.9941348973607038
GH43_e53	GH43_1:1254|GH43_10:16|GH5_21:6|CBM6:5|GH43:4|GH10:3|GH43_33:2|GH43_32:2|GH43_34:1|GH43_29:1|GH117:1	3.2.1.37:19|3.2.1.55:4	xylan, xylan	310	EAJ10_RS08565	323	7e-149	1	310	8	318	0.9967741935483871	0.9967741935483871
GH5_e243	GH5_21:28|GH43_10:5	3.2.1.8:2	xylan	275	EAJ10_RS08600	1135	1.2e-123	1	275	81	352	0.9963636363636363	0.9963636363636363
